Jyg3Lo_-Ep8	Who Lives, Who Dies, Who Tells Your Story	10	Original Broadway Cast of Hamilton - Topic	UC34heOtZWrXdl5YqhrlMDOQ
aDfLFdIa8qU	CHER LLOYD (THE FINAL) The X Factor 2010	10	sanchezbully	UCUA7LOZ7ItYUenRrERv7I4Q
oja4MRrnBEQ	SCP-682 and SCP-999 Play's Five Nights At Freddy's - 1,600 Subscriber special.	20	TheHauntedReader	UCc9laXXW8wVp5nH5zo0DOvg
tUmh_tqjJZ8	COMO CONECTAR MOTOR DE LAVADORA	27	EL ANGELITO	UCD7FQQev-YMsslmt9nJ5ZtA
SubErahEmSc	Teaching how to cheat in undertale	19	Zyga	UCf_6f8UKSjCjQDxBU6-Rgtg
1Q-BJT1x4Vo	Bench Cushion, Zipper Option	26	TheBusyBeeMom	UC_wWfk6m_QS337uwGQhC2HA
dPSm7AiJWrU	How to Make Peanut Butter Jelly Pizza	22	Adam LZ	UCXIYLgIp6DYZHjmUUUXErmg
K1p4hUjPttQ	Skyrim Mods - Week #57: Faction: Pit Fighter, Syerscote, Spycrab	24	MxR Mods	UC4MGZcDG5hnzpi3hDpORkXw
b9un--5GjTI	Turnt Shoujo's: The Commas are all F*cked Up	23	SwordNKey	UCMR1XTsRvRA94a429TWbTEQ
9Zu0rqwuv_E	"Mary Fisher Part 2 ""A Whisper of AIDS"""	25	uncleherman911	UCx1XI04jRg-0jl8ryeszGHA
WBMxb9HB4iU	HOW TO GET RID OF BLACKHEADS! DIY BLACKHEAD TREATMENT!	26	AprilAthena7	UC2QS1dw4h3Eu89rwSr7nMng
0d4sT2p0a2Q	The Heavy - Set Me Free (official video)	10	Ninja Tune	UCEXRv_qihRwjsV91ftx23-A
L8Vi4LSmlSM	"Underswap!AU - ""Drop Pop Candy"" [ANIMATIC]"	20	AnAdventureAwaits	UC-GOKrqVyQQwtETTVWjNzTw
uOnqS9iv7fc	Bonham Triplets and Paice Rolls	10	GrooveDrummin	UCxPdfT9WPdsp52tvRomlPqg
RixlNudlg94	5 minutes on meth street. Meth head trippin balls bad	23	Siccness WorldWide	UC6eYeZEH1L7jppqzpwx4Xfw
mKL6D5hAhgA	Justin Bieber and Jaden Smith Dancing	10	Sumarfan	UCybex5xWonlva3FtAd6XXQw
M82lZ0Sl-Ug	Hey January, HEY!!	22	Sparklers Leadership	UC1fMbzgVo24NnlxBCG2uDVg
JkAeSl3CXfs	Remember The Titans - Trevor Rabin - Titans Spirit	10	mollemania	UCea71gvnfY-Z3ac70XEUOGQ
rBYZqVeggwY	Hashtags: #HowIQuit	23	The Tonight Show Starring Jimmy Fallon	UC8-Th83bH_thdKZDJCrn88g
xxe1Sdc-pJE	Isla Vista Shootings - A Dose of Buckley	23	ADoseofBuckley	UC9kMnSZQd53hE-1sb1f9sdA
aG4f7sPm2rU	Only One Command - Lightsabers (National Star Wars Day)	20	tripl3dogdare	UCUlCRN7Vo7oFECE85D20adg
lQb3lT-s8_0	"Pink Floyd - ""Top 10 Songs""  +"	10	TheGreat Gig	UC0G4Y9gSm_u50fcbie7sCiQ
XBHDmPCbcyI	Portal 2: Expanding the Brain - PART 1 - Game Grumps	20	GameGrumps	UC9CuvdOVfMPvKCiwdGKL3cQ
iU5OFna6r0o	Sheetrock Walk-Thru - Tape and Bed - Bluffside	22	abqbuilder	UCSOPgggNqBK6tg8TU6oWSzQ
bbj_YbzWe0A	500-Square-Feet Small House with a Loft	26	Tiny House Talk	UCEhGzFzSaf_js4wfGVcHKKA
gD_0U5l7jk4	Scatman (metal cover by Leo Moracchioli)	10	Frog Leap Studios	UC98tcedR6gULv8_b70WJKyw
05XBEM91Whg	Making a Star Wars Rancor Costume for Comic-Con!	28	Adam Savage’s Tested	UCiDJtJKMICpb9B1qf7qjEOA
bJ1Qw2vtHgU	Chatty GRWM feat. THE BALM Mr. Write (NOW) Eyeliner / Review	26	Svetlana Kobaliya	UCAkd0dtU15co4Hpq3ymBlwQ
Fpq8QXa4SSc	How to connect a Set top box to TV HDTV LCD LED Plasma or Smart TV	28	ITS FIVE NOW	UCGTaVjYlMnHv9mODNXp8V9A
NM8xvE5B4yk	M16 Full Auto Suppressed	17	hickok45	UCvB3solmhqtgDeLpD-yTtfg
N1TnKmTba9A	LIQUID ASS HOT BOX CHALLENGE	20	OpTic Flamesword	UCwS9IeUbQdOrTVluMv_P8gA
LieQC2MOcUo	Rodeo Park Toboggan Run, Les Arc - FULL RUN 3000m	24	asperformedby	UCDBNylyfL12aycBibNjP7YQ
v29zFgK-Dw8	MINECRAFT: How To build A Modern House / Best modern House 2013 - 2014 ( hd ) Tutorial mansion	20	Typhoon Cinema	UC5dr8DMXhPeU3yKpEn8nR7Q
8FO9Eg0Gfr0	Michael Eric Dyson Schools Andrew Breitbart on Racism	25	Reich-Wing Watch	UCqNWJOeBOBSF1pm9tjGnKhg
gzeSuypS-T8	Oral Sex : Giving vs Receiving | Arielle Scarcella	24	Arielle Scarcella	UCEjK33MAsRdSNlNfCRHARvQ
eDM95oaWkdk	Videos of Birds Chirping and Squirrels For Cats To Watch	15	Paul Dinning	UCPJXfmxMYAoH02CFudZxmgg
Lg2w0A4rtmU	MattyBRaps EX Girl is Back!	22	MattyBVlogs	UCCCysu6ecuB4TFqzkyxLJaA
gfTE6VYSp3o	Let´s Play Kingdom Hearts 1 Part 23 - Ein Wiedersehen mit einem alten Freund - German	20	Lars Viper	UCSKzuRKYvBHz0R9oEa-qeUg
uzWcA_Zt7A8	Top 10 Hottest Female Power Rangers	24	WatchMojo.com	UCaWd5_7JhbQBe4dknZhsHJg
